from_set 	arg_id	Marriage between two people of the same gender  	is_same_side	argument1	argument2
train 	5	DIFF-NEG	FALSE	By not allowing gay marriage, the privilege of eternal love is taken away.	The right of homosexuals to marry damages exlclusivity of heterosexual marriage seriously.
train 	5	CIT	TRUE	By not allowing gay marriage, the privilege of eternal love is taken away.	The position that banning gay marriage takes away the privilege of eternal love is convincing.
train 	5	CIT-NEG	FALSE	By not allowing gay marriage, the privilege of eternal love is taken away.	The position that banning gay marriage takes away the privilege of eternal love is stupid.
train 	6	NEG	FALSE	Homosexual marriage underminds all major religions.	Homosexual marriage does not undermine all major religions.
train 	6	CON	TRUE	Homosexual marriage underminds all major religions.	The marriage between two people of the same gender subverts all major religions.
train 	6	CON-NEG	FALSE	Homosexual marriage underminds all major religions.	The marriage between two people of the same gender does not subvert all major religions.
train 	6	DIFF	TRUE	Homosexual marriage underminds all major religions.	Marrying a person with the same gender violates the rules of any religion.
train 	6	DIFF-NEG	FALSE	Homosexual marriage underminds all major religions.	Marrying a person with the same gender does not violate the rules of any religion.
train 	6	CIT	TRUE	Homosexual marriage underminds all major religions.	All preachers say that the homosexual marriage should be forbidden. And I agree with that.
train 	6	CIT-NEG	FALSE	Homosexual marriage underminds all major religions.	All preachers say that the homosexual marriage should be forbidden. And I totally disagree with that.
train 	7	NEG	FALSE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	It should not be allowed for the people of the lgbt community to marry and it is not a discrimination against their sexuality.
train 	7	CON	TRUE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	Giving the people of the lgbt community the permission to marry is a way to stop the discrimination of their sexuality.
train 	7	CON-NEG	FALSE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	The people of the lgbt community should not get the permission to marry.
train 	7	DIFF	TRUE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	Taking the right to marry whoever you want violates with the concept of love.
train 	7	DIFF-NEG	FALSE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	Taking the right to marry whoever you want does not violate the concept of love. Because love just exist between a man and a woman.
train 	7	CIT	TRUE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	The lgbt community states that not allowing people of their community to marry is discrimination against their sexuality and that is true.
train 	7	CIT-NEG	FALSE	Not allowing people of the lgbt community to marry is discrimination against their sexuality.	The lgbt community states that not allowing people of their community to marry is discrimination against their sexuality but that is not true.
train 	8	NEG	FALSE	The world would be a better place if the pope blessed a gay marriage.	The world would not be a better place just because the pope blessed a gay marriage.
train 	8	CON	TRUE	The world would be a better place if the pope blessed a gay marriage.	The pope should bless every marriage no matter which gender the couple has.
train 	8	CON-NEG	FALSE	The world would be a better place if the pope blessed a gay marriage.	The pope should not bless every marriage.
train 	8	DIFF	TRUE	The world would be a better place if the pope blessed a gay marriage.	When gay marriage is allowed a lot of people would be much more happier and satisfied.
train 	8	DIFF-NEG	FALSE	The world would be a better place if the pope blessed a gay marriage.	It would not change anything if gay people would be allowed to marry.
train 	8	CIT	TRUE	The world would be a better place if the pope blessed a gay marriage.	If the pope would bless gay marriages it would be a big step for the humanity.
train 	8	CIT-NEG	FALSE	The world would be a better place if the pope blessed a gay marriage.	The pope should not bless gay marriages because is does not change anything.
train 	9	NEG	FALSE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Gay marriage would be a huge benefit for the society, because marriage should represent the bond of two people who love each other.
train 	9	CON	TRUE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Marriage stands for the eternal love of a man and a woman.
train 	9	CON-NEG	FALSE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Marriage does not only stand for the eternal love of a man and a woman, it stands for the love of two people no matter which gender they have.
train 	9	DIFF	TRUE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Bonding a man and a woman through a marriage is a religious act and it benefits our society.
train 	9	DIFF-NEG	FALSE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Bonding people to eachtother through a marriage is not a religious act anymore in our society.
train 	9	CIT	TRUE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Gay marriage would change the image of marriages in general and nobody wants that.
train 	9	CIT-NEG	FALSE	In fact, not only would gay marriage not benefit society, but gay marriage would actually hinder society because it would degrade the image of what marriage is.	Gay marriage would help the society to forget about old structures which only exist because of religion.
train 	10	NEG	FALSE	Legalizing gay marriage will not destroy man/woman relationships.	Legalizing gay marriage will destroy man/woman relationships.
train 	10	CON	TRUE	Legalizing gay marriage will not destroy man/woman relationships.	Giving gays the right to be in a relationship or in a marriage would not would not effect relationships of straight people.
train 	10	CON-NEG	FALSE	Legalizing gay marriage will not destroy man/woman relationships.	Giving gays the right to be in a relationship or in a marriage has an impact on relationships of straight people.
train 	10	DIFF	TRUE	Legalizing gay marriage will not destroy man/woman relationships.	Straight people will not change their sexuality just because gay marriage is allowed.
train 	10	DIFF-NEG	FALSE	Legalizing gay marriage will not destroy man/woman relationships.	People will not make the decision to marry someone of the opposite sex if it is allowed to marry somone of the same sex.
train 	10	CIT	TRUE	Legalizing gay marriage will not destroy man/woman relationships.	Why should gay marriage destroy man/woman relationships? It would just give gays the option to marry.
train 	10	CIT-NEG	FALSE	Legalizing gay marriage will not destroy man/woman relationships.	Why should gay marriage destroy man/woman relationships you ask? Because humans want to taste the forbidden fruit after it is not forbidden anymore.
train 	11	NEG	FALSE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	Gay marriage can not increase the number of children successfully adopted, and it will not diminish teen suicide.
train 	11	CON	TRUE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	Instead of reproducing gays will adopt children, so the number of children who will be adopted successfully will increase.
train 	11	CON-NEG	FALSE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	Just because gays can not reproduce it does not mean that they will adopt children. 
train 	11	DIFF	TRUE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	Children with parents are more likely to be happy.
train 	11	DIFF-NEG	FALSE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	Children with same sex parents get bullied a lot and are not happy at all.
train 	11	CIT	TRUE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	This shows us that the suicide rate of children is lowered significantly in states where same sex marriage is legal.
train 	11	CIT-NEG	FALSE	Gay marriage can increase the number of children successfully adopted, and it will diminish teen suicide.	This is no real evidence that the suicide rate of children is connected to the legalization of gay marriage.
train 	12	NEG	FALSE	Gay marriages can also help boost the economy by supporting the government fiscally.	Gay marriages do not help boost the economy accordingly they do not support the government fiscally.
train 	12	CON	TRUE	Gay marriages can also help boost the economy by supporting the government fiscally.	The economy and the government will be benefited through marriage licenses and income taxes from married couples.
train 	12	CON-NEG	FALSE	Gay marriages can also help boost the economy by supporting the government fiscally.	The economy and the government will not benefited through marriage licenses and income taxes from married couples.
train 	12	DIFF	TRUE	Gay marriages can also help boost the economy by supporting the government fiscally.	Gay marriages help to build a more stable society through different aspects.
train 	12	DIFF-NEG	FALSE	Gay marriages can also help boost the economy by supporting the government fiscally.	Gay marriages divide and destroy our society and our government.
train 	12	CIT	TRUE	Gay marriages can also help boost the economy by supporting the government fiscally.	States like new york have reportedly said 259 million dollars has entered its economy since the legalization of gay marriage.
train 	12	CIT-NEG	FALSE	Gay marriages can also help boost the economy by supporting the government fiscally.	States like new york have reportedly said 259 million dollars has entered its economy since the legalization of gay marriage. But this report is full of lies.
train 	13	NEG	FALSE	The majority of states have homosexual marriage, so why make it legalized further.	Simply because some states legalized same sex marriage it does not mean that we should it legalize further.
train 	13	CON	TRUE	The majority of states have homosexual marriage, so why make it legalized further.	It can not be wrong to legalize gay marriage when the majority of states legalized it.
train 	13	CON-NEG	FALSE	The majority of states have homosexual marriage, so why make it legalized further.	You can not assume that legalizing gay marriage is not wrong because some states legalized it. 
train 	13	DIFF	TRUE	The majority of states have homosexual marriage, so why make it legalized further.	Our nation will be strengthen more and more with all those new upcoming laws and changes.
train 	13	DIFF-NEG	FALSE	The majority of states have homosexual marriage, so why make it legalized further.	Our nation will be teared apart more and more with all those new upcoming laws and changes.
train 	13	CIT	TRUE	The majority of states have homosexual marriage, so why make it legalized further.	I cant see why the rest of the states should not legalize same sex marriage just like the majority of the states.
train 	13	CIT-NEG	FALSE	The majority of states have homosexual marriage, so why make it legalized further.	It makes no sense to legalize homosexual marriage like the majority of states. 
train 	14	NEG	FALSE	Gay marriage will decrease world population.	Gay marriage will not decrease world population.
train 	14	CON	TRUE	Gay marriage will decrease world population.	Because gays can not have kids the world population will decrease.
train 	14	CON-NEG	FALSE	Gay marriage will decrease world population.	Even if the gays can not have kids the world population will not decrease.
train 	14	DIFF	TRUE	Gay marriage will decrease world population.	Gay marriage harms the concept of marriage in general.
train 	14	DIFF-NEG	FALSE	Gay marriage will decrease world population.	Gay marriage will strengthen the concept of marriage in general.
train 	14	CIT	TRUE	Gay marriage will decrease world population.	It is true that the decrease of the world population correlates with gay marriages.
train 	14	CIT-NEG	FALSE	Gay marriage will decrease world population.	Their is no correlation between the decrease of the world population and gay marriages.
train 	15	NEG	FALSE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	Gay marriage should be allowed because it give a child two parents it does not matter if the child has two mothers or two fathers.
train 	15	CON	TRUE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	A child need a father and a mother who care for him and gays can not provide that.
train 	15	CON-NEG	FALSE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	Gay marriage makes sure that a child has two parents who care for him.
train 	15	DIFF	TRUE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	Gay marriage conflicts with the law, our society and our beliefs.
train 	15	DIFF-NEG	FALSE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	Our society will benefit from gay marriages in a lot of aspects. 
train 	15	CIT	TRUE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	I agree with the point that gay marriage deprives a child either a mother or a father.
train 	15	CIT-NEG	FALSE	Gay marriage should not be allowed because its will deprive the child of either a mother or a father the reason being since it's two females or two males.	The point that gay marriages deprives a child a is pointless because it does not matter if a child has two mothers or two fathers. It is important that he has two parents.
train 	16	NEG	FALSE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	The marriage of two people of the same gender does not have a bad influence on children. Gay marriage is not the reason for men acting like women and women acting like men.
train 	16	CON	TRUE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	In a same sex marriage one of the parnters is always the man and the other one the woman thats why there are men who act like woman and women who act like men.
train 	16	CON-NEG	FALSE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	There are several reasons why men act like women and women like men but gay marriage is not one of those reasons.
train 	16	DIFF	TRUE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	Gay marriages conflicts with all the rules we have in our society and in our religions.
train 	16	DIFF-NEG	FALSE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	The rules of our society does not stand in any contradiction with gay marriage and marriage is not only a religious act that is why is does not conflict with the rules of it either.
train 	16	CIT	TRUE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	The number of feminin men and maskulin women are rising in every state/country where gay marriage is legalized.
train 	16	CIT-NEG	FALSE	Gay marriage overall is badly influencing the children today men acting like women and women acting like men.	The statement that gay marriages influences our children to act like their opposite gender is simply not true.
train 	17	NEG	FALSE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	Gay marriage is not necessary for the progress of our society, and for the dignity of its citizenst.
train 	17	CON	TRUE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	To sustain the dignity of every citizen of our society and for its progress gay marriage is indispensable.
train 	17	CON-NEG	FALSE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	To sustain the dignity of every citizen of our society and for its progress we do not need gay marriage.
train 	17	DIFF	TRUE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	Legalizing gay marriage would have a lot of positive effects on our society.
train 	17	DIFF-NEG	FALSE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	Legalizing gay marriage just has negative effects on our society. 
train 	17	CIT	TRUE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	I totally agree with the point that gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.
train 	17	CIT-NEG	FALSE	Gay marriage is necessary for the progress of our society, and for the dignity of its citizenst.	Everyone thinks that gay marriage ist important for the progress of our society, and for the dignity of its citizenst but it is not.
train 	18	NEG	FALSE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	There are many people from all religions who do not support gay marriage and label two members of the same sex getting married as a means of going against god or being unjust.
train 	18	CON	TRUE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	Same sex marriage is supported from all kinds of people. They also have a lot of religious supporters who do not see same sex marriage as an act against god's will.
train 	18	CON-NEG	FALSE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	Same sex marriage is supported from all kinds of people. But most of the religious people see same sex marriage as an act against god's will.
train 	18	DIFF	TRUE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	Marriage is not a religious act that is why a lot of religious people support gay marriage.
train 	18	DIFF-NEG	FALSE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	Marriage is a religious act and that is why a lot of religious people do not support same sex marriage.
train 	18	CIT	TRUE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	A child need a father and a mother who care for him and gays can not provide that.
train 	18	CIT-NEG	FALSE	There are many people from all religions who support gay marriage and do not label two members of the same sex getting married as a means of going against god or being unjust.	Even if there are many people from all religions who support gay marriage it is not a reason why we should legalize same sex marriage because marriage it is not just a religious act. Marriage is a traditional cerenmony in our society between a man and a woman. I think we should not change that.
train 	19	NEG	FALSE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	Allowing gay marriage is about giving rights to gay people and it should change the definition of marriage to include the union between two people of the same sex.
train 	19	CON	TRUE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	The traditional definition of marriage should not be changed by giving gays the right to marry.
train 	19	CON-NEG	FALSE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	The traditional definition of marriage should be changed by giving gays the right to marry because the humanity evolves and changes permantly.
train 	19	DIFF	TRUE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	Marriage is the bond of two people who love eachother. And by definition it should just be allowed for straight couples.
train 	19	DIFF-NEG	FALSE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	Marriage is the bond of two people who love eachother. It should not matter if it is a straight couple or a gay couple.
train 	19	CIT	TRUE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	Changing the definition of marriage to include the union between two people of the same sex is not something we should do.
train 	19	CIT-NEG	FALSE	Allowing gay marriage is not about giving rights to gay people, it’s about changing the definition of marriage to include the union between two people of the same sex.	We should change the old definition of marriage not only for giving rights to gay people but to change the status of gay marriage as something abnormal. 
train 	20	NEG	FALSE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	Even if a lot of forms of marriage are legal. It is important that to classify which are not legal.
train 	20	CON	TRUE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	Same sex marriage should be legal if nearly every form of marriage is legal.
train 	20	CON-NEG	FALSE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	It does not mean that just because nearly all forms of marriages are legal that we have to legalize gay marriage.
train 	20	DIFF	TRUE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	All humans are equal. This is why we also should treat gays like we want to be treated.
train 	20	DIFF-NEG	FALSE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	Being gay was not intended by god. That is why gays are different to heterosexual humans.
train 	20	CIT	TRUE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	When nearly every form of marriage is legal, there is no logical explanation why gay marriage should not be legalized.
train 	20	CIT-NEG	FALSE	Nearly every form of marriage is legal. There is no need to legalize that which is legal.	It is a lie that nearly every form of marriage is legal and because of that lie we should not legalize same sex marriage.
train 	21	NEG	FALSE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	Just because straight people can marry who ever they want, does not mean that gays also should be able to marry who ever they want.
train 	21	CON	TRUE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	Being able to decide who you want marry should not be a privilege for straight people.
train 	21	CON-NEG	FALSE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	Being able to decide who you want marry should be a privilege for straight people.
train 	21	DIFF	TRUE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	Gays should have the same rights like straight people.
train 	21	DIFF-NEG	FALSE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	Gays should not have the same rights like straight people.
train 	21	CIT	TRUE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	There is no reason why gays should not be able to marry who they want if straight people can marry who they want.
train 	21	CIT-NEG	FALSE	If straight people can marry who ever they want, then gays should be able to marry who ever they want.	I do not agree with the conclusion that gays should be able to marry who ever they want based on the fact that straight people can marry who ever they want. 
train 	22	NEG	FALSE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	The money that society gets from gay marriage is a not to underestimate number compared with the money spent on fighting hiv/aids.
train 	22	CON	TRUE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	Yearly millions of dollars are spend on the fight against hiv/aids. The money the society gets from same sex marriage is negotieable in comparison.
train 	22	CON-NEG	FALSE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	The fight and research on hiv/aids will consume high sums of money because straight people have also hiv/aids. 
train 	22	DIFF	TRUE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	Gay marriage divides our society more and more and the money that the society gets from gay marriage is not worth it.
train 	22	DIFF-NEG	FALSE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	Gay marriage does strengthen our society in last couple of years and on top of that the society gets money by allowing gay marriage by law.
train 	22	CIT	TRUE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	I agree with the point that gay marriage should not be legalized because any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.
train 	22	CIT-NEG	FALSE	Any money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids.	I think the comparision between the money that society gets from gay marriage would be nothing compared to what is spent fighting hiv/aids is pointless because gays are not the main reason why there is research on hiv/aids.
train 	23	NEG	FALSE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	There a lot of people who want the lealization of gay marriage and because we live in a democracy and not in a totalitarianism we should respect the opinion of the majority.
train 	23	CON	TRUE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Democracy gives the people the right to have an influence which laws will be adopted. And because the majority of people are against gay marriage it should not be legalized. 
train 	23	CON-NEG	FALSE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Democracy gives the people the right to have an influence which laws will be adopted. And because the majority of people want the legalization of same sex marriage it should be legalized.
train 	23	DIFF	TRUE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Gay marriage has a direct influence on the society so the people of the society should be allowed to vote if same sex marriage should be allowed or not. And because the majority people does not want the legalization it should not be legalized.
train 	23	DIFF-NEG	FALSE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Gay marriage has a direct influence on the society so the people of the society should be allowed to vote if same sex marriage should be allowed or not. And because the majority people want the legalization it should be legalized.
train 	23	CIT	TRUE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Because we live in a democracy and not in a totalitarianism the opinion of the majority should be respected. I think if the majority does not want the legalization of same sex marriage then it should not be legalized.
train 	23	CIT-NEG	FALSE	While there might be a few for legalization of gay marriage, one should respect the opinion of the majority. If we were to make laws the people did not want, then this country would no longer be a democracy but a totalitarianism.	Because we live in a democracy and not in a totalitarianism the opinion of the majority should be respected. I think if the majority wants the legalization of same sex marriage then it should be legalized.
train 	24	NEG	FALSE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	Marriage is a tradition that is not weakened by high divorce rates. If one were to legalize gay marriage, then marriage would not become weakened as the main goal of marriage would be to fulfill the children desires of children without parents. Divorce rate and out of wedlock birth are not correlated with the legalization of gay marriage.
train 	24	CON	TRUE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	Gay marriage causes a lot of problems. It weakens the tradition of marriage by changing the main goal of a marriage which is fulfilling children desires and not fulfillinf adult desires. It also correlates with the divorce rate and the number of out of wedlock births.
train 	24	CON-NEG	FALSE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	The high divorce rates are something positive because women who lived in abusive marriages are independent enough to divorce the marriage and not be completly ruined. Gay marriage fulfill the desires of children without any parents. And wedlock births can not be related to the legalization of gay marriage because gays can not have children. 
train 	24	DIFF	TRUE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	The tradition of marriages gets destroyed more and more. The main reasons are alternative relationships and legalization of different marriages then the classic marriage between a man and a woman.
train 	24	DIFF-NEG	FALSE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	The tradition of marriages does not get destroyed. it is just not that important anymore. People choose to live in alternative forms of relationships. And the legalization of same sex marriage is strengthen the concept of marriage because it allows people to marry who they love.
train 	24	CIT	TRUE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	It is true that the tradition of marriage is already weakened by high divorce rates. The main goal of marriage also would become to just fulfill adult desires it also would be to fulfill the desires of adopted children. And their is a significant correlation between gay marriages and the divorce rate and out of wedlock births.
train 	24	CIT-NEG	FALSE	Marriage is a tradition that is already weakened by high divorce rates. If one were to legalize gay marriage, then marriage would become weakened as the main goal of marriage would become fulfilling adult desires rather than children desires. Divorce rate and out of wedlock births are shown to be correlated with the legalization of gay marriage.	It is not true that the tradition of marriage is already weakened by high divorce rates. The main goal of marriage also would not become to just fulfill adult desires it also would be to fulfill the desires of adopted children. And their is no correlation at all between gay marriages and the divorce rate and out of wedlock births.
